ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
482805431,Audio,Black-capped Chickadee,Poecile atricapillus,,Anne Craig,2022-09-09,2022,9,9,1348,United States,US-CO-059,Colorado,Jefferson,Rampart Station Subdivision,39.6610980,-105.1005793,"",,Unspecified,"","",,,,,,,S118395936,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
482766871,Audio,Black-capped Chickadee,Poecile atricapillus,,David Price,2022-09-07,2022,9,7,712,United States,US-CO-077,Colorado,Mesa,Horsethief Canyon SWA,39.1668029,-108.7984657,Unknown – 1,"Call; Foraging or Eating; Song",Not Used,"","",,,Samsung S21 5g using Merlin for recording,,,,S118282302,"",,,Merlin recordings are not translating well to eBird. I can hear audio fine on the phone but barely audible when downloaded to eBird.,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,"",,
482678681,Audio,Black-capped Chickadee,Poecile atricapillus,Cyanocitta cristata -- Blue Jay,Kyleigh Godsey,2022-09-08,2022,9,8,534,United States,US-NE-045,Nebraska,Dawes,Sawmill Shelter [CSP Banding Station],42.7090038,-103.0238270,Adult – 4,Foraging or Eating,Not Used,"","",,,Samsung Galaxy S20 FE,Samsung Galaxy S20 FE,,,S118331579,"",,,"gleaning from the trees in front of me, seemingly undisturbed by my presence despite the vocalizations",banded (5),Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
482664521,Audio,Black-capped Chickadee,Poecile atricapillus,,Jesse Morris,2022-09-09,2022,9,9,1017,Canada,CA-QC-RS,Quebec,Roussillon,"RF Marguerite-D'Youville",45.3914585,-73.7611771,"",Call,Unspecified,"","",,,,,,,S118384339,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
482664531,Audio,Black-capped Chickadee,Poecile atricapillus,,Jesse Morris,2022-09-09,2022,9,9,1017,Canada,CA-QC-RS,Quebec,Roussillon,"RF Marguerite-D'Youville",45.3914585,-73.7611771,"",Call,Unspecified,"","",,,,,,,S118384339,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,5.00,1,"",,
482592591,Audio,Black-capped Chickadee,Poecile atricapillus,"Geothlypis tolmiei -- MacGillivray's Warbler; Dryobates villosus -- Hairy Woodpecker",Larry Joseph,2022-09-07,2022,9,7,944,Canada,CA-BC-KS,British Columbia,Kitimat-Stikine,Larry’s yard,55.2644660,-127.6522200,Unknown – 1,"Call; Song",Not Used,"","",,,iPhone 11 Pro,Sennheiser MKE600,Blimp,,S118282025,"",,,"Sound ID: MacGillivray's Warbler-2.5sec; Hairy Woodpecker-2.5sec; Black-capped Chickadee-5.5sec; ",,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
482557071,Audio,Black-capped Chickadee,Poecile atricapillus,,Karen Fiske,2022-09-09,2022,9,9,757,United States,US-MA-001,Massachusetts,Barnstable,Mashpee NWR--Johns Pond Park,41.6371678,-70.5096531,"",,Unspecified,"","",,,,,,,S118375350,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
482543501,Audio,Black-capped Chickadee,Poecile atricapillus,,Jesse Morris,2022-09-08,2022,9,8,1351,Canada,CA-QC-MR,Quebec,Montréal,Parcs Armand-Bombardier & André-Corbeil-dit-Tranchemontagne,45.6430636,-73.5981224,"",Call,Unspecified,"","",,,,,,,S118339588,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,"",,
482517361,Audio,Black-capped Chickadee,Poecile atricapillus,,Richard Stanton,2022-09-08,2022,9,8,1207,United States,US-MO-019,Missouri,Boone,Rock Bridge SP--Shooting Star Trailhead (Gans Creek Wild Area),38.8735618,-92.2960453,"",Call,Not Used,"","",,,,,,,S118343285,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,5.00,1,"",,
482504301,Audio,Black-capped Chickadee,Poecile atricapillus,,Randy Morgan,2022-09-08,2022,9,8,1400,United States,US-MA-001,Massachusetts,Barnstable,Long Pasture Wildlife Sanctuary (Mass Audubon),41.7070300,-70.2717100,"",,Unspecified,"","",,,,,,,S118362777,"",,,,"Recorded audio; attached wav file with  several birds vocalizing",Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
482491281,Audio,Black-capped Chickadee,Poecile atricapillus,Poecile atricapillus -- Black-capped Chickadee,Lisa Cancade Hackett,2022-07-24,2022,7,24,1438,Canada,CA-MB-SN,Manitoba,Dauphin,"Riding Mountain National Park, Division #17, Unorganized CA-MB 50.66810, -99.94572",50.6680980,-99.9457220,Adult – 2,"Call; Song",Unspecified,"","",,,iPhone Xs,,"Merlin Bird app, Ocenaudio",,S115693360,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,"",,
482468641,Audio,Black-capped Chickadee,Poecile atricapillus,,Lisa Cancade Hackett,2022-07-08,2022,7,8,1129,Canada,CA-ON-NP,Ontario,Nipissing,"!CA-ON- 399 Angus Ave, North Bay",46.3315220,-79.4525150,Adult – 1,Call,Unspecified,"","",,,Apple iPhone XS,,"Merlin Bird app, Ocenaudio",,S114649869,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
482451001,Audio,Black-capped Chickadee,Poecile atricapillus,,Jesse Morris,2022-09-08,2022,9,8,911,Canada,CA-QC-MR,Quebec,Montréal,PN de la Pte-aux-Prairies--Secteur Rivière-des-Prairies,45.6971896,-73.5144755,"",Call,Unspecified,"","",,,,,,,S118328000,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.67,3,"",,
482412951,Audio,Black-capped Chickadee,Poecile atricapillus,,Andy Frank,2022-09-08,2022,9,8,1331,United States,US-OR-051,Oregon,Multnomah,Pittock Mansion,45.5249912,-122.7171564,"",,Unspecified,"","",,,,,,,S118351303,"",,,,audio,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
482394751,Audio,Black-capped Chickadee,Poecile atricapillus,,Kyleigh Godsey,2022-09-06,2022,9,6,600,United States,US-NE-045,Nebraska,Dawes,Sawmill Shelter [CSP Banding Station],42.7090038,-103.0238270,Unknown – 1,Call,Not Used,"","",,,Samsung Galaxy S20 FE,Samsung Galaxy S20 FE,,,S118226882,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
482378791,Audio,Black-capped Chickadee,Poecile atricapillus,"Vireo olivaceus -- Red-eyed Vireo; Setophaga virens -- Black-throated Green Warbler; Mniotilta varia -- Black-and-white Warbler; Zonotrichia albicollis -- White-throated Sparrow",Lisa Cancade Hackett,2022-06-14,2022,6,14,1103,Canada,CA-ON-NP,Ontario,Nipissing,"Atlas square 17TPM14 - !CA-ON-Nipissing, Oak Ridge Wetland, ON (46.4638,-79.4928)",46.4605026,-79.4772492,Adult – 2,Song,Unspecified,"","",,,iPhone Xs,Sennheiser MKE 600,"Merlin Bird app, Ocenaudio",,S112966566,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
482349421,Audio,Black-capped Chickadee,Poecile atricapillus,,Lisa Cancade Hackett,2022-09-03,2022,9,3,1400,Canada,CA-ON-NP,Ontario,Nipissing,"!CA-ON-Nipissing, Oak Ridge Wetland, ON (46.4638,-79.4928)",46.4638370,-79.4928200,Adult – 2,"Call; Song",Unspecified,"","",,,iPhone Xs,,"Merlin Bird app, Ocenaudio",,S118027385,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
482346551,Audio,Black-capped Chickadee,Poecile atricapillus,,Lisa Cancade Hackett,2022-09-05,2022,9,5,1429,Canada,CA-ON-NP,Ontario,Nipissing,"Mooz Miikan, West Nipissing CA-ON (46.4156,-79.7200)",46.4155740,-79.7199590,Adult – 2,"Call; Song",Unspecified,"","",,,iPhone Xs,,"Merlin Bird app, Ocenaudio",,S118176253,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
482343671,Audio,Black-capped Chickadee,Poecile atricapillus,Dryobates villosus [villosus Group] -- Hairy Woodpecker (Eastern),Lisa Cancade Hackett,2022-08-30,2022,8,30,957,Canada,CA-ON-NP,Ontario,Nipissing,North Bay--Laurier Woods,46.3043126,-79.4405644,Adult – 2,Call,Unspecified,"","",,,iPhone Xs,,"Merlin Bird app, Ocenaudio",,S117814506,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,"",,
482341421,Audio,Black-capped Chickadee,Poecile atricapillus,Vireo olivaceus -- Red-eyed Vireo,Lisa Cancade Hackett,2022-08-19,2022,8,19,1248,Canada,CA-MB-SE,Manitoba,Brandon Area,!CA-MB-7 Daly Beach Rd,50.0241980,-100.1881510,Adult – 2,"Call; Foraging or Eating; Song",Unspecified,"","",,,iPhone Xs,,"Merlin Bird app, Ocenaudio",,S117217529,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
482338241,Audio,Black-capped Chickadee,Poecile atricapillus,,Aaron Barker,2022-09-08,2022,9,8,848,Canada,CA-YT-YT,Yukon Territory,Yukon,Whitehorse--Takhini,60.7394884,-135.0962677,"",,Unspecified,"","",,,,,,,S118329799,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
482319371,Audio,Black-capped Chickadee,Poecile atricapillus,,Debbie Niemeyer,2022-09-08,2022,9,8,722,United States,US-OR-047,Oregon,Marion,Oak Street,45.0096968,-122.7768087,"",,Unspecified,"","",,,,,,,S118323689,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,1.00,1,,,
482280081,Audio,Black-capped Chickadee,Poecile atricapillus,Spinus tristis -- American Goldfinch,Lisa Cancade Hackett,2022-07-08,2022,7,8,1129,Canada,CA-ON-NP,Ontario,Nipissing,"!CA-ON- 399 Angus Ave, North Bay",46.3315220,-79.4525150,Adult – 2,"Call; Song",Unspecified,"","",,,Apple iPhone XS,,"Merlin Bird app, Ocenaudio",,S114649869,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
482240531,Audio,Black-capped Chickadee,Poecile atricapillus,,Daniel Welsh,2022-09-01,2022,9,1,629,United States,US-CA-105,California,Trinity,Hyampom Airport Rd.,40.6218255,-123.4660408,"",,Unspecified,"","",,,,,,,S117904648,"",,,,"Seen in willows between the river and levee.  Back gray and no rufous on back or sides, ruling out Chestnut-backed Chickadee.  Lacked white supercilium of Mountain Chickadee.",Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
482213171,Audio,Black-capped Chickadee,Poecile atricapillus,,Josip Turkalj,2022-09-07,2022,9,7,955,United States,US-MN-123,Minnesota,Ramsey,Linwood Park,44.9333824,-93.1351726,"",,Unspecified,"","",,,,,,,S118273445,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
482202211,Audio,Black-capped Chickadee,Poecile atricapillus,,Diane Cunnington,2022-09-06,2022,9,6,1500,United States,US-WA-033,Washington,King,"Black Diamond Natural Area, West",47.3326904,-122.0238452,Unknown – 2,,Unspecified,"","",,,,,,,S118302594,"",,,,"heard only. At least 2, close, but obstructed by foliage.",Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
482147101,Audio,Black-capped Chickadee,Poecile atricapillus,,Lisa Cancade Hackett,2022-09-05,2022,9,5,14,Canada,CA-ON-NP,Ontario,Nipissing,"Mooz Miikan, West Nipissing CA-ON (46.4156,-79.7200)",46.4155740,-79.7199590,Unknown – 1,"Call; Song",Unspecified,"","",,,AudioMoth 1.8.1,,waterproof case,,S118294769,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
