ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
628478069,Audio,Northern Cardinal,Cardinalis cardinalis,"Sitta carolinensis -- White-breasted Nuthatch; Thryothorus ludovicianus -- Carolina Wren",Jack and Shirley Foreman,2024-09-11,2024,9,11,714,United States,US-MO-071,Missouri,Franklin,Rocky Ridge,38.3680061,-91.2471597,"","",Not Used,"","",,,LS 10 Olympus,,,,S194745369,"",,,Northern Cardinal,,Cardinalis cardinalis,norcar,Species,34224,,3.00,1,"",,
628470419,Audio,Northern Cardinal,Cardinalis cardinalis,,Zach Ambrose,2025-01-03,2025,1,3,702,United States,US-NC-183,North Carolina,Wake,Feeder,35.8562393,-78.6878662,"",,Unspecified,"","",,,,,,,S207800452,"",,,,"It's nice to hear their songs again!",Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628427206,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-02,2025,1,2,830,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,"Tascam DR-05X, 1536 kbps",Behringer B-2 Pro,Omnidirectional Large Dual-Diaphragm,,S207700154,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,3.00,1,,,
628426597,Audio,Northern Cardinal,Cardinalis cardinalis,,Noah Sanford,2025-01-02,2025,1,2,744,United States,US-CO-001,Colorado,Adams,Barr Lake SP,39.9430556,-104.7625000,"",,Unspecified,"","",,,,,,,S207679501,"",,,,"adult male, continuing, spotted in bushes to the east of the house, then right off the ditch to bathe in the puddle. chased by a squirrel. not a lifer for me but an awesome state tick",Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628423910,Audio,Northern Cardinal,Cardinalis cardinalis,,Noel LaRuffa,2025-01-02,2025,1,2,1301,United States,US-MI-139,Michigan,Ottawa,★ Neighborhood Area,42.9094854,-85.8962385,Adult – 1,Call,Unspecified,"","",,,,,,,S207681204,"",,,"Adult calling constantly, probably some sort of territorial call as there were many other cardinals in the area.",,Cardinalis cardinalis,norcar,Species,34224,,4.00,2,"",,
628383693,Audio,Northern Cardinal,Cardinalis cardinalis,,John Hiebert,2024-10-24,2024,10,24,1335,United States,US-MN-163,Minnesota,Washington,Afton SP,44.8554802,-92.7749723,"",,Unspecified,"","",,,,,,,S200121145,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628382552,Audio,Northern Cardinal,Cardinalis cardinalis,,John Hiebert,2025-01-01,2025,1,1,1343,United States,US-OK-109,Oklahoma,Oklahoma,Spring Creek Trail,35.6479745,-97.4069261,"",,Unspecified,"","",,,,,,,S207536802,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628382551,Audio,Northern Cardinal,Cardinalis cardinalis,,John Hiebert,2025-01-01,2025,1,1,1343,United States,US-OK-109,Oklahoma,Oklahoma,Spring Creek Trail,35.6479745,-97.4069261,"",,Unspecified,"","",,,,,,,S207536802,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628367425,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-01,2025,1,1,845,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,"Tascam DR-05X, 1536 kbps",Behringer B-2 Pro,Omnidirectional Large Dual-Diaphragm,,S207549604,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628356888,Audio,Northern Cardinal (Common),Cardinalis cardinalis [cardinalis Group],,John Tollefson,2025-01-01,2025,1,1,930,United States,US-IA-113,Iowa,Linn,Mohawk City Park,42.0047580,-91.6889334,"",Call,Unspecified,"","",,,,,,,S207468340,"",,,,,Cardinalis cardinalis,norcar1,Group,34225,,3.50,2,"",,
